Exam,Section(s),Day,Date,"Start
Time","End
Time",Location,,,
AFM 433,"001,002",Wednesday,"April 15, 2015",9:00 AM,11:30 AM,E2 1310,,,
AFM 475,001,Friday,"April 24, 2015",9:00 AM,11:30 AM,MC 4040,,,
AFM 476,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 1,,,
AFM 491,"001,002",Wednesday,"April 22, 2015",9:00 AM,11:30 AM,"RCH 110,112",,,
AHS 150,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
AMATH 231,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4059,,,
AMATH 242,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 301,,,
AMATH 250,001,Saturday,"April 25, 2015",9:00 AM,11:30 AM,"PAC 1,2",,,
AMATH 331,001,Saturday,"April 18, 2015",7:30 PM,10:00 PM,MC 1085,,,
AMATH 332,001,Saturday,"April 25, 2015",12:30 PM,3:00 PM,MC 4041,,,
AMATH 342,001,Wednesday,"April 22, 2015",7:30 PM,10:00 PM,MC 4040,,,
AMATH 350,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,M3 1006,,,
AMATH 353,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 8,,,
AMATH 361,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,RCH 306,,,
AMATH 373,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,PAC 7,,,
AMATH 391,001,Saturday,"April 18, 2015",9:00 AM,11:30 AM,PAC 9,,,
AMATH 451,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,MC 4040,,,
AMATH 455,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,MC 4040,,,
AMATH 475,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,RCH 307,,,
AMATH 495,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,MC 4040,,,
AMATH 655,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,MC 4040,,,
AMATH 675,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,RCH 307,,,
AMATH 900,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,MC 4040,,,
ANTH 101,001,Saturday,"April 18, 2015",12:30 PM,2:30 PM,M3 1006,,,
ANTH 102,001,Monday,"April 13, 2015",9:00 AM,11:00 AM,"MC 2034,2035,2038",,,
ANTH 201,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,PAS 1229,,,
ANTH 202,001,Tuesday,"April 21, 2015",4:00 PM,6:30 PM,DWE 3517,,,
ANTH 233,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,PAS 1241,,,
ANTH 260,001,Friday,"April 10, 2015",9:00 AM,11:00 AM,PAS 1241,,,
ANTH 305,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,PAS 1229,,,
ANTH 321,001,Saturday,"April 11, 2015",4:00 PM,6:30 PM,EV3 4412,,,
ANTH 348,001,Saturday,"April 11, 2015",9:00 AM,11:00 AM,PAS 2086,,,
ARBUS 102,"001,002",Tuesday,"April 21, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6",,,
ARBUS 202,001,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,PAC 8,,,
ARBUS 202,002,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,PAC 4,,,
ARBUS 202,003,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,PAC 1,,,
ARBUS 202,004,Wednesday,"April 15, 2015",4:00 PM,6:30 PM,PAC 5,,,
ARBUS 301,"001,002",Monday,"April 20, 2015",12:30 PM,3:00 PM,"PAC 3,9,10",,,
BIOL 101,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,MC 4041,,,
BIOL 120,001,Wednesday,"April 15, 2015",9:00 AM,11:30 AM,"DC 1350,1351",,,
BIOL 130,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,"RCH 301,302,305",,,
BIOL 165,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,8",,,
BIOL 211,001,Friday,"April 17, 2015",9:00 AM,11:30 AM,"RCH 301,302",,,
BIOL 239,001 to 003,Thursday,"April 16, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8,11,12",,,
BIOL 240,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
BIOL 241,001,Saturday,"April 18, 2015",9:00 AM,11:30 AM,"PAC 1,2,3",,,
BIOL 273,"001,002",Monday,"April 13, 2015",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7",,,
BIOL 273L,001 to 009,Tuesday,"April 14, 2015",7:30 PM,8:30 PM,"DC 1350,1351",,,
BIOL 301,001,Thursday,"April 23, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4",,,
BIOL 331,001,Friday,"April 24, 2015",12:30 PM,3:00 PM,"PAC 7,8",,,
BIOL 335L,"001,002",Tuesday,"April 14, 2015",9:00 AM,11:30 AM,MC 4041,,,
BIOL 346,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 110,,,
BIOL 351,001,Saturday,"April 18, 2015",7:30 PM,10:00 PM,DC 1350,,,
BIOL 359,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,"PAC 1,2,3,6",,,
BIOL 361,001,Tuesday,"April 21, 2015",7:30 PM,10:00 PM,DC 1350,,,
BIOL 365,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,MC 4041,,,
BIOL 366,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 8,,,
BIOL 371,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"PAC 9,10",,,
BIOL 373,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,7,8",,,
BIOL 373L,001 to 007,Thursday,"April 16, 2015",9:00 AM,10:00 AM,"DC 1350,1351",,,
BIOL 383,001,Friday,"April 24, 2015",7:30 PM,10:00 PM,AL 208,,,
BIOL 403,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,MC 4040,,,
BIOL 414,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,PAC 8,,,
BIOL 426,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,PAC 9,,,
BIOL 428,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,B2 350,,,
BIOL 431,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,"PAC 9,10",,,
BIOL 432,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,MC 1085,,,
BIOL 438,001,Friday,"April 17, 2015",7:30 PM,10:00 PM,PAC 7,,,
BIOL 441,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,"RCH 103,105",,,
BIOL 442,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,PAC 8,,,
BIOL 449,001,Friday,"April 24, 2015",9:00 AM,11:30 AM,"MC 4059,4061",,,
BIOL 450,001,Friday,"April 17, 2015",7:30 PM,10:00 PM,PAC 8,,,
BIOL 457,001,Thursday,"April 23, 2015",12:30 PM,3:00 PM,MC 4045,,,
BIOL 467,001,Wednesday,"April 15, 2015",9:00 AM,11:30 AM,MC 4040,,,
BIOL 477L,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,
BIOL 484,001,Saturday,"April 25, 2015",12:30 PM,3:00 PM,MC 4059,,,
BME 122,001,Friday,"April 17, 2015",9:00 AM,11:30 AM,"E5 6006,6008",,,
BME 182,001,Tuesday,"April 21, 2015",4:00 PM,6:30 PM,"E5 6006,6008",,,
BME 184,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,"E5 6006,6008",,,
BUS 111W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 121W,,Saturday,"April 11, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,8",,,
BUS 127W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 231W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 247W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 288W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 352W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 353W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 354W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 357W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 362W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 383W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 385W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 387W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 393W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 395W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 397W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 398W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 403W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 413W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 423W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 429W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 433W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 443W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 449W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 451W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 452W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 453W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 463W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 464W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 466W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 467W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 473W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 477W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 481W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 483W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 486W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 487W,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
BUS 495QW,,See http://www.wlu.ca/page.php?grp_id=1366&p=14566,,,,WLU,,,
CHE 101,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,PAC 7,,,
CHE 121,001,Friday,"April 17, 2015",4:00 PM,6:30 PM,"PAC 3,8",,,
CHE 161,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 6,,,
CHE 200,001,Exam removed from schedule. Contact instructor for further information.,,,,,,,
CHE 220,001,Friday,"April 17, 2015",4:00 PM,6:30 PM,MC 1085,,,
CHE 230,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,RCH 301,,,
CHE 311,001,Tuesday,"April 14, 2015",7:30 PM,10:00 PM,"E6 2022,2024",,,
CHE 312,001,Thursday,"April 23, 2015",4:00 PM,6:30 PM,PAC 8,,,
CHE 313,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,"E6 2022,2024",,,
CHE 322,001,Tuesday,"April 21, 2015",4:00 PM,6:30 PM,PAC 3,,,
CHE 325,001,Monday,"April 20, 2015",12:30 PM,3:00 PM,"E6 2022,2024",,,
CHE 330,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,"RCH 307,308",,,
CHE 331,001,Saturday,"April 18, 2015",12:30 PM,3:00 PM,"E6 2022,2024",,,
CHE 360,001,Friday,"April 17, 2015",4:00 PM,6:30 PM,"PAC 11,12",,,
CHE 514,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,RCH 301,,,
CHE 516,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,RCH 302,,,
CHE 522,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,E6 2024,,,
CHE 543,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,E6 4022,,,
CHE 562,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,E6 4022,,,
CHE 564,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,E6 4022,,,
CHE 571,001,Monday,"April 13, 2015",9:00 AM,11:30 AM,E5 2024,,,
CHE 572,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,MC 1085,,,
CHE 574,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"MC 2017,2054",,,
CHE 614,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,RCH 301,,,
CHE 624,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,E6 2024,,,
CHE 672,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,MC 1085,,,
CHE 674,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"MC 2017,2054",,,
CHEM 120,001,Friday,"April 24, 2015",12:30 PM,3:00 PM,"PAC 1,2,3",,,
CHEM 123,001 to 004,Friday,"April 24, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12,
M3 1006",,,
CHEM 123L,001 to 012,Friday,"April 24, 2015",7:30 PM,9:30 PM,"PAC 1,2,3,4,5,6,7,8,9,10,11,12,
MC 1056",,,
CHEM 212,001,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,DC 1350,,,
CHEM 221,001,Saturday,"April 18, 2015",7:30 PM,10:00 PM,MC 4059,,,
CHEM 228,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4040,,,
CHEM 233,001,Saturday,"April 25, 2015",9:00 AM,11:30 AM,PAC 8,,,
CHEM 237,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,"PAC 1,2,3",,,
CHEM 237L,001 to 004,Wednesday,"April 15, 2015",4:00 PM,6:00 PM,M3 1006,,,
CHEM 254,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,"RCH 301,309",,,
CHEM 262,001,Saturday,"April 11, 2015",9:00 AM,11:30 AM,"MC 2034,2035",,,
CHEM 265,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,MC 4061,,,
CHEM 267,"001,002",Saturday,"April 25, 2015",9:00 AM,11:30 AM,"PAC 4,5,6,7",,,
CHEM 313,001,Friday,"April 24, 2015",9:00 AM,11:30 AM,MC 4020,,,
CHEM 350,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,MC 1085,,,
CHEM 357,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,DC 1350,,,
CHEM 360,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,"PAC 11,12",,,
CHEM 360L,001 to 004,Wednesday,"April 15, 2015",7:30 PM,9:30 PM,"RCH 110,112",,,
CHEM 420,001,Friday,"April 17, 2015",4:00 PM,6:30 PM,MC 4059,,,
CHEM 433,001,Thursday,"April 23, 2015",4:00 PM,6:30 PM,PAC 9,,,
CHEM 440,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,C2 361,,,
CHEM 450,001,Friday,"April 24, 2015",7:30 PM,10:00 PM,EIT 2053,,,
CHEM 460,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,RCH 205,,,
CHEM 740,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,C2 361,,,
CHINA 101R,"001,002",Wednesday,"April 22, 2015",7:30 PM,10:00 PM,"REN 2106,2107",,,
CHINA 102R,001,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,REN 2107,,,
CHINA 120R,"001,002",Friday,"April 10, 2015",9:00 AM,11:30 AM,"REN 0104,0106",,,
CHINA 201R,001,Thursday,"April 23, 2015",9:00 AM,11:30 AM,REN 2107,,,
CHINA 302R,001,Saturday,"April 11, 2015",4:00 PM,6:30 PM,REN 0106,,,
CHINA 320R,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,REN 2107,,,
CIVE 121,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,"RCH 103,105,110",,,
CIVE 127,001,Thursday,"April 16, 2015",12:30 PM,3:00 PM,DC 1350,,,
CIVE 303,001,Wednesday,"April 22, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,
CIVE 331,001,Wednesday,"April 15, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,
CIVE 342,001,Friday,"April 17, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,
CIVE 353,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,"CPH 3602,3604,3607",,,
CIVE 375,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,"CPH 3602,3604,3607",,,
CIVE 381,001,Saturday,"April 18, 2015",4:00 PM,6:30 PM,CPH 3607,,,
CIVE 405,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,DWE 2527,,,
CIVE 415,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,RCH 302,,,
CIVE 422,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,DWE 2527,,,
CIVE 440,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,RCH 302,,,
CIVE 460,001,Tuesday,"April 21, 2015",7:30 PM,10:00 PM,RCH 301,,,
CIVE 497,002,Saturday,"April 11, 2015",4:00 PM,6:30 PM,"E5 3101,3102",,,
CIVE 507,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,MC 2065,,,
CIVE 542,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,CPH 3504,,,
CIVE 554,001,Saturday,"April 18, 2015",12:30 PM,3:00 PM,CPH 3607,,,
CIVE 583,001,Tuesday,"April 14, 2015",4:00 PM,6:30 PM,CPH 3607,,,
CIVE 596,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,RCH 302,,,
CLAS 104,001,Thursday,"April 23, 2015",4:00 PM,6:30 PM,"PAC 1,2,3,4,5,6,7",,,
CLAS 201,001,Monday,"April 13, 2015",7:30 PM,10:00 PM,"PAC 1,2,3,4",,,
CLAS 205,001,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,PAC 8,,,
CLAS 221,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,PAS 1229,,,
CLAS 232,001,Friday,"April 17, 2015",12:30 PM,3:00 PM,AL 124,,,
CLAS 321,001,Saturday,"April 11, 2015",4:00 PM,6:30 PM,EV3 4412,,,
CLAS 361,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
CLAS 384,001,Wednesday,"April 22, 2015",12:30 PM,3:00 PM,AL 124,,,
CM 730,001,Monday,"April 13, 2015",4:00 PM,6:30 PM,RCH 205,,,
CO 227,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,PAC 11,,,
CO 250,"001,002",Thursday,"April 16, 2015",9:00 AM,11:30 AM,"PAC 7,8",,,
CO 250,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
CO 255,001,Thursday,"April 16, 2015",9:00 AM,11:30 AM,PAC 9,,,
CO 327,001,Monday,"April 20, 2015",7:30 PM,10:00 PM,PAC 12,,,
CO 331,001,Wednesday,"April 22, 2015",4:00 PM,6:30 PM,PAC 2,,,
CO 353,001,Saturday,"April 25, 2015",12:30 PM,3:00 PM,MC 4045,,,
CO 367,001,Saturday,"April 11, 2015",12:30 PM,3:00 PM,MC 4042,,,
CO 370,001,Saturday,"April 18, 2015",12:30 PM,3:00 PM,"PAC 11,12",,,
CO 372,001,Friday,"April 24, 2015",7:30 PM,10:00 PM,DC 1350,,,
CO 444,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,MC 4040,,,
CO 452,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,RCH 205,,,
CO 466,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,PAC 9,,,
CO 481,001,Monday,"April 20, 2015",4:00 PM,6:30 PM,MC 1085,,,
CO 487,001,Tuesday,"April 21, 2015",9:00 AM,11:30 AM,"PAC 11,12",,,
CO 644,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,MC 4040,,,
CO 652,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,RCH 205,,,
CO 666,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,PAC 9,,,
COMM 103,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,RCH 110,,,
COMM 231,001,Saturday,"April 18, 2015",9:00 AM,11:30 AM,DC 1350,,,
COMM 321,001,Friday,"April 10, 2015",7:30 PM,10:00 PM,PAC 11,,,
COMM 421,001,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,MC 2034,,,
COMM 432,001,Monday,"April 13, 2015",12:30 PM,3:00 PM,RCH 206,,,
CROAT 102,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,ML 354,,,
CROAT 102,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
CROAT 202,001,Friday,"April 10, 2015",9:00 AM,11:30 AM,ML 354,,,
CS 100,081 Online,See https://uwaterloo.ca/quest/help/students/how-do-i/online-exam-schedule,,,,,,,
CS 115,001 to 003,Friday,"April 17, 2015",4:00 PM,6:30 PM,"PAC 4,5,6,7",,,
CS 116,"001,003 to 005",Friday,"April 17, 2015",12:30 PM,3:00 PM,"PAC 1,2,3,4,5,6,7,8",,,
CS 116,002,Friday,"April 17, 2015",12:30 PM,3:00 PM,"PAC 11,12",,,
CS 135,"001,002",Friday,"April 17, 2015",4:00 PM,6:30 PM,M3 1006,,,
CS 136,001 to 008,Friday,"April 17, 2015",9:00 AM,11:30 AM,"PAC 1,2,3,4,5,6,7,8",,,
CS 138,001,Friday,"April 17, 2015",9:00 AM,11:30 AM,"MC 4059,4060,4061",,,
CS 146,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,RCH 110,,,
CS 230,001,Wednesday,"April 15, 2015",12:30 PM,3:00 PM,"PAC 11,12",,,
CS 240,001 to 003,Friday,"April 17, 2015",9:00 AM,11:30 AM,"DC 1350,1351",,,
CS 241,001 to 003,Wednesday,"April 15, 2015",7:30 PM,10:00 PM,"PAC 4,5,10",,,
CS 245,"001,002",Saturday,"April 18, 2015",9:00 AM,11:30 AM,M3 1006,,,
CS 246,"001,002",Monday,"April 13, 2015",4:00 PM,6:30 PM,M3 1006,,,
CS 251,"001,002",Friday,"April 24, 2015",4:00 PM,6:30 PM,"PAC 4,5,6",,,
CS 330,"001,002",Thursday,"April 23, 2015",9:00 AM,11:30 AM,M3 1006,,,
CS 335,001,Tuesday,"April 21, 2015",12:30 PM,3:00 PM,"PAC 11,12",,,
CS 338,001,Friday,"April 10, 2015",12:30 PM,3:00 PM,DC 1350,,,
CS 341,001 to 004,Saturday,"April 18, 2015",9:00 AM,11:30 AM,"PAC 4,5,6",,,
CS 343,001,Friday,"April 24, 2015",4:00 PM,6:30 PM,PAC 3,,,
CS 348,001,Thursday,"April 23, 2015",9:00 AM,11:30 AM,PAC 8,,,
CS 349,001 to 004,Friday,"April 17, 2015",12:30 PM,3:00 PM,"MC 4020,4021,4059,4061",,,
CS 350,"001,002",Monday,"April 13, 2015",9:00 AM,11:30 AM,"RCH 103,105,106,110",,,
CS 360,001,Thursday,"April 23, 2015",7:30 PM,10:00 PM,MC 4059,,,
CS 365,001,Friday,"April 10, 2015",4:00 PM,6:30 PM,MC 4042,,,
CS 370,"001,002",Tuesday,"April 14, 2015",7:30 PM,10:00 PM,"PAC 4,5",,,
CS 371,001,Monday,"April 20, 2015",9:00 AM,11:30 AM,RCH 301,,,
CS 430,001,Thursday,"April 16, 2015",4:00 PM,6:30 PM,PAC 6,,,
CS 436,001,Thursday,"April 23, 2015",12:30 PM,3:00 PM,PAC 11,,,
CS 442,001,Saturday,"April 11, 2015",7:30 PM,10:00 PM,MC 4020,,,
CS 444,001,Tuesday,"April 14, 2015",12:30 PM,3:00 PM,"PAC 9,10",,,
